song_id,user_id,timestamp,duration_sec,title,artist,genre,mood
S0025,U027,2025-03-31T23:11:05.000Z,78,Management his,Emily Stone,Classical,Energetic
S0085,U007,2025-03-28T21:36:17.000Z,250,Hard choice capital,Bryan Hansen,Jazz,Chill
S0055,U023,2025-04-11T00:21:44.000Z,240,Wide whole foot,Mikayla Mason,Pop,Sad
S0094,U030,2025-03-21T13:40:11.000Z,57,Anyone western,David Tucker,Pop,Happy
S0084,U044,2025-03-30T02:20:49.000Z,80,Certainly cell must,Kendra Mays,Jazz,Chill
S0052,U004,2025-03-31T04:24:28.000Z,203,Article other section,Angela Jones,Jazz,Sad
S0032,U007,2025-03-24T10:31:56.000Z,128,Generation eat,Kristy Buckley,Jazz,Sad
S0069,U013,2025-04-08T01:33:48.000Z,259,Represent if,Sydney Rasmussen,Jazz,Sad
S0055,U009,2025-03-30T05:26:48.000Z,123,Wide whole foot,Mikayla Mason,Pop,Sad
S0060,U018,2025-03-31T07:50:43.000Z,157,Huge less,Katherine Fisher,Classical,Energetic
S0057,U005,2025-03-23T14:51:43.000Z,80,Should course station race,Allison Taylor,Classical,Happy
S0084,U004,2025-03-29T20:01:45.000Z,37,Certainly cell must,Kendra Mays,Jazz,Chill
S0097,U006,2025-03-29T09:20:53.000Z,151,Author,John Williams,Jazz,Chill
S0053,U011,2025-03-29T01:35:36.000Z,278,Finally safe daughter,Carl Shannon,Rock,Chill
S0028,U031,2025-04-01T04:42:53.000Z,235,Song system,Sandra Fisher,Rock,Energetic
S0022,U004,2025-04-11T23:52:57.000Z,224,Quite,Diana Thomas,Classical,Happy
S0050,U001,2025-04-10T14:14:21.000Z,165,Voice court,Lindsay Elliott,Classical,Chill
S0037,U030,2025-04-06T14:51:33.000Z,246,Today agreement statement,Linda Lane,Rock,Chill
S0094,U045,2025-04-06T16:55:42.000Z,279,Anyone western,David Tucker,Pop,Happy
S0025,U010,2025-03-24T08:23:50.000Z,181,Management his,Emily Stone,Classical,Energetic
S0008,U014,2025-04-05T14:34:41.000Z,61,Natural that player,Caleb Willis,Rock,Happy
S0041,U048,2025-03-21T07:03:16.000Z,59,Feel value,Holly Kelly,Rock,Happy
S0075,U004,2025-03-22T03:07:04.000Z,274,One for,Shannon Preston,Jazz,Sad
S0068,U033,2025-03-15T19:54:13.000Z,110,Main,Matthew Marks,Classical,Happy
S0066,U004,2025-04-07T03:04:01.000Z,71,Month meet change sure,Michelle Cole,Pop,Energetic
S0009,U012,2025-03-19T13:05:56.000Z,64,Society end,John Wolfe,Classical,Sad
S0031,U044,2025-04-09T07:30:42.000Z,236,Bar shake,Luke Spence,Jazz,Chill
S0073,U008,2025-03-22T15:28:22.000Z,156,Pick assume cup,Suzanne Mcfarland,Hip-Hop,Happy
S0077,U038,2025-03-14T02:19:44.000Z,50,Worry hour,Tonya Pena,Classical,Happy
S0011,U040,2025-03-13T17:28:02.000Z,244,Across news,Raymond Webster,Rock,Chill
S0075,U043,2025-03-25T05:05:01.000Z,297,One for,Shannon Preston,Jazz,Sad
S0034,U021,2025-03-15T17:56:12.000Z,134,Direction who from,Shannon Pope,Rock,Energetic
S0092,U043,2025-04-01T07:39:52.000Z,190,Professional,Gerald Wilson,Pop,Happy
S0034,U016,2025-03-22T03:07:29.000Z,232,Direction who from,Shannon Pope,Rock,Energetic
S0086,U009,2025-04-03T09:35:44.000Z,183,Affect present officer,Bryan Moody,Classical,Chill
S0041,U030,2025-03-29T10:19:39.000Z,67,Feel value,Holly Kelly,Rock,Happy
S0059,U001,2025-03-18T05:33:35.000Z,81,Appear staff,Matthew Clarke,Classical,Chill
S0069,U005,2025-03-18T11:12:21.000Z,139,Represent if,Sydney Rasmussen,Jazz,Sad
S0034,U033,2025-03-31T04:21:51.000Z,97,Direction who from,Shannon Pope,Rock,Energetic
S0009,U023,2025-04-06T17:53:50.000Z,155,Society end,John Wolfe,Classical,Sad
S0037,U024,2025-03-25T04:00:34.000Z,110,Today agreement statement,Linda Lane,Rock,Chill
S0070,U029,2025-03-19T01:28:56.000Z,184,Ready back,Brandy Meadows,Rock,Energetic
S0084,U040,2025-03-23T10:32:29.000Z,300,Certainly cell must,Kendra Mays,Jazz,Chill
S0086,U001,2025-04-09T15:59:27.000Z,183,Affect present officer,Bryan Moody,Classical,Chill
S0014,U043,2025-03-21T11:31:22.000Z,98,Relationship upon,Joseph Ingram,Hip-Hop,Energetic
S0015,U017,2025-04-02T21:43:25.000Z,84,Ahead but,Brenda Pollard,Jazz,Sad
S0071,U048,2025-03-26T14:56:37.000Z,109,Goal cause,April Roy,Rock,Happy
S0037,U018,2025-03-28T23:33:09.000Z,137,Today agreement statement,Linda Lane,Rock,Chill
S0044,U046,2025-03-20T06:06:23.000Z,134,Region wonder name,Christopher Valdez,Rock,Energetic
S0082,U044,2025-04-09T23:44:06.000Z,165,Paper his far,Mallory Anderson,Jazz,Chill
S0063,U033,2025-04-08T02:32:29.000Z,158,Usually central,Carrie Bush,Jazz,Happy
S0012,U004,2025-03-26T21:46:06.000Z,246,Participant nice meet,Kaylee Rice,Classical,Energetic
S0006,U018,2025-03-17T19:34:45.000Z,31,Though nor,David Boyd,Pop,Happy
S0099,U022,2025-04-02T15:45:10.000Z,96,Coach red chance,Daniel Johnson,Classical,Chill
S0034,U041,2025-04-09T15:16:56.000Z,112,Direction who from,Shannon Pope,Rock,Energetic
S0057,U048,2025-04-03T12:26:05.000Z,248,Should course station race,Allison Taylor,Classical,Happy
S0002,U036,2025-03-18T06:28:45.000Z,87,Oil movement Mr,Samantha Mitchell,Jazz,Sad
S0089,U005,2025-04-05T03:18:52.000Z,106,Size character page,Michael Ryan,Jazz,Happy
S0005,U035,2025-03-14T17:02:14.000Z,219,Face chance,Patricia Roberts,Classical,Chill
S0071,U038,2025-03-18T01:58:06.000Z,105,Goal cause,April Roy,Rock,Happy
S0017,U028,2025-04-11T10:56:26.000Z,51,Imagine dinner adult,Douglas Sherman,Pop,Happy
S0047,U020,2025-03-15T06:42:42.000Z,50,National treatment,Sally Adams,Rock,Energetic
S0027,U023,2025-04-11T23:07:57.000Z,157,Rather take,Steve Hansen,Pop,Happy
S0014,U043,2025-04-06T15:43:25.000Z,211,Relationship upon,Joseph Ingram,Hip-Hop,Energetic
S0072,U050,2025-04-02T15:28:53.000Z,238,Focus fear price,Rebecca Martinez,Classical,Energetic
S0096,U040,2025-03-14T10:44:04.000Z,109,Store bag,Edward Clark,Classical,Sad
S0021,U016,2025-03-28T16:30:57.000Z,120,Their network,Leslie Woods,Pop,Chill
S0004,U027,2025-04-05T07:18:37.000Z,121,Prevent people,Lisa Torres,Pop,Happy
S0043,U048,2025-03-24T11:02:17.000Z,240,Find cut girl,Heather West,Jazz,Happy
S0095,U043,2025-03-13T21:41:17.000Z,157,Generation,Michael Carter,Jazz,Happy
S0021,U018,2025-03-15T04:08:35.000Z,85,Their network,Leslie Woods,Pop,Chill
S0005,U025,2025-04-04T12:59:11.000Z,270,Face chance,Patricia Roberts,Classical,Chill
S0026,U015,2025-03-31T15:36:24.000Z,265,Guy next,Colleen Johnson,Classical,Sad
